field,source,location,original_value,original_unit,transformation,final_value,final_unit,provenance_class,notes
vaccine_service_unit,R6 final research decision,Section 9,1,dose,no conversion,1,dose,RESEARCH_CALIBRATION,Seasonal Influenza Vaccine specifically
vaccine_cold_chain,CDC vaccine storage guidance,Storage Temperature section,2-8,Celsius,scientific rationale only,required,refrigerated cold chain,EMPIRICAL_SOURCE,Supports h>0 meaning; not the numerical carrying-cost coefficient
vaccine_carrying_cost,R6 final research decision with cold-chain literature anchor,Section 12,1,USD per dose-year,divide by 12 then apply 6-month horizon,0.5,USD per dose per 6 months,RESEARCH_CALIBRATION,Exact computational h=1/12 USD per dose-month; 0.08333 is display rounding
vaccine_hurricane_relevance,CDC emergency shelter influenza guidance,Background and recommendations,displaced people share crowded shelter space,qualitative rationale,retain narrative role,qualitative,EMPIRICAL_SOURCE,Does not calibrate demand quantity
mre_energy,Defense Logistics Agency MRE product page,Nutritional content,1250,kcal per MRE,divide by 90 kcal per crackers SU and round to registered coefficient,14,crackers SU per MRE,RESEARCH_CALIBRATION,Approximate energy-service normalization
crackers_serving,Connecticut Department of Education acceptable foods list,MJM Savory Bites wheat crackers row,22 g and 90 kcal,serving,register standardized service unit,1,22 g serving,EMPIRICAL_SOURCE,Public nutrition/product cross-check
crackers_price,R6 final research decision with public procurement cross-check,Section 8,0.09372,USD per 22 g SU,no transformation,0.09372,USD per SU,RESEARCH_CALIBRATION,Fixed design value; public procurement sources support product/pack context but are not claimed as an exact observed match
crackers_retention,R6 final research decision,Section 3,0.90,effective fraction,no transformation,0.90,effective service retention,RESEARCH_CALIBRATION,Not observed 10% physical mass loss
category_survivability,JPPR Wang et al. (2026),Hurricane category case-setting table,"Cat1-5 Q=.8,.6,.4,.2,0; F=.9,.7,.4,0,0",fraction,set delta=1-base F availability,"rhoQ=.8,.6,.4,.2,0; delta=.1,.3,.6,1,1",fraction,RESEARCH_CALIBRATION,Literature-calibrated case settings; not empirical damage rates
combined_category,R6 final research decision,Section 6,max constituent category,category,deterministic max,max category,category,RESEARCH_CALIBRATION,Not a sequential physical-damage model
no_hurricane,R6 final research decision,Section 6,no hurricane,identity,set zero demand and undamaged availability,"rhoQ=1; delta=0",fraction,RESEARCH_CALIBRATION,Scenario retained; excluded only from undefined share statistics
shortage_penalty,R6 final research decision,Section 13,"beta=4; lambda W=1.5 V=2.5 C=1",ratio,multiply beta*lambda*cQ,"W=3.8862; V=139.16; C=.37488",USD-equivalent loss per shortage SU,RESEARCH_CALIBRATION,Objective only; never cash budget
flexible_cost,R6 final research decision,Section 14,"phi=.20; psi=.85",ratio,multiply commodity cQ,"cF=.20cQ; pF=.85cQ",USD per SU,RESEARCH_CALIBRATION,F fully exercised base cost is 1.05cQ
reliability,R6 final research decision,Section 15,"eta=0,.5,.8; premium ratios=0,.1,.25",ratio,multiply premium ratios by cQ,commodity-specific premium,USD per reserved SU,RESEARCH_CALIBRATION,R protects F only
flexible_capacity,R6 governing rule carried from v2.1,Maximum scenario demand,max d_iomega,SU,max across final 51 transformed scenarios,"W=27000000; V=1144366.1971831; C=206878000",SU,SOURCE_DERIVED,Not selected from optimization results
reference_demand,R6-A deterministic reference rule,Formal 51-scenario data,scenario demands and probabilities,SU,probability-weighted mean,"W=4325654.88; V=146257.388732394; C=29431892.7",SU,SOURCE_DERIVED,No optimization used
reference_budget,R6 governing formula,Formal transformed data,"sum_i((cQ_i+h_i*tau)*Dref_i/a_i)",USD,deterministic calculation,7975014.2749022,USD,SOURCE_DERIVED,Reference only; no 0.90/1.00/1.10 model run performed
f_split_sensitivity,R6 final research decision,Section 14,"(.10,.95);(.20,.85);(.30,.75)",ratio,configuration only,same,ratio,ROBUSTNESS_ONLY,Not executed in R6-A
crackers_retention_sensitivity,R6 final research decision,Section 8,".80;.90;1.00",fraction,configuration candidate only,same,fraction,ROBUSTNESS_ONLY,Not executed in R6-A
vaccine_cold_chain_sensitivity,R6 final research decision,Section 12,".25;.50;1.00",USD per dose per 6 months,configuration candidate only,same,USD per dose per 6 months,ROBUSTNESS_ONLY,Not executed in R6-A
hu_dong_workbook,data for demand.xlsx,scenario!A1:AA41,40 non-empty rows and 25 demand columns,workbook,auxiliary structural audit only,"probability sum=1",audit result,SOURCE_DERIVED,Not a Rawls/Yang source and not used in active Formal calculations
