simulation_id,input_sha256,pre_fix_status,pre_fix_diagnostic,post_fix_A1_status,post_fix_A1_diagnostic,post_fix_A1_objective,post_fix_A1_certificate,post_fix_worst_scenario,post_fix_iterations,A0_status_if_needed,A0_objective_if_needed,EF_status_if_needed,EF_objective_if_needed
LA-0148,7151e912cd4a11e3ecf51701a50a70afb496f08ac17c31ec24434fead2eac7fd,oracle_failure,Full exact certification was incomplete,certified,,1238082694.0736794,PASS,h09,3,not_needed,,not_needed,
LA-0156,ede0f25f8a6b0fd60df144524ba4d02e2a103ff7991cd5634de5358915c8e124,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1213625241.2377439,PASS,h09,3,not_needed,,not_needed,
LA-0158,c6bd2306267b0f1e89480d80c036f99276c0b35c952949b54d672acc747becdc,oracle_failure,Memory exact evaluation failed,certified,,1222283695.92976,PASS,h09,3,not_needed,,not_needed,
LA-0169,b0f2032de2442051dcc2a77a5d1150a6cc6f7c2c5317099a77f5cb39892e418c,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1224635346.0971825,PASS,h09,3,not_needed,,not_needed,
LA-0172,84a890bda107c2affe9940ec8a32906871be70610d62d2687f2ad7d0de24af36,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1182549489.5512905,PASS,h09,3,not_needed,,not_needed,
LA-0173,3fdce90559a3fa35fc5a790f6b3ef13b885ad9fdec179bd496c9207d1c078563,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1225960190.1961575,PASS,h09,3,not_needed,,not_needed,
LA-0174,4f344505002ff21d8109eed718bb5f8b8002bb30f9d928a87bf9a1d0f7b50adb,oracle_failure,Full exact certification was incomplete,certified,,1230693231.305593,PASS,h09,3,not_needed,,not_needed,
LA-0179,1fb4960aa84b46eb37d3c5daaa1d2e544bbc4709d0b898d967690d88b8373469,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1189935509.4928656,PASS,h09,3,not_needed,,not_needed,
LA-0192,5c5bdef810f8771fd56289e99baab5fd72dfdf3cf610e4ddcdfbfdfedccf027a,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1240083044.9320323,PASS,h09,3,not_needed,,not_needed,
LA-0208,86f8dee9613183fc59f97a4e65221bcd624a99be001735564d47f13ecd95937f,oracle_failure,Memory exact evaluation failed,certified,,1232681649.0721908,PASS,h09,3,not_needed,,not_needed,
LA-0216,dbb498be1c3f008cc6fb508e6ceee41fe53337982ef2d1543830b70fdcd42b01,oracle_failure,Full exact certification was incomplete,certified,,1236168383.5450509,PASS,h09,3,not_needed,,not_needed,
LA-0231,c19ae09cb55a3839287aec3371ba5d67a0a8141e47c80fb39f7629bea09a231e,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1229993410.604628,PASS,h09,3,not_needed,,not_needed,
LA-0234,8e316c08f7d87d64aec2e3e6f08cf315a53267d5c84dae77db84879e2cf7e9b1,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1191861308.2045925,PASS,h09,3,not_needed,,not_needed,
LA-0240,456ab94e95f6c4c22089c52fc66aa76bff495fbe9e7b34fc46077478105cafdc,oracle_failure,Full exact certification was incomplete,certified,,1179166615.7674398,PASS,h09,3,not_needed,,not_needed,
LA-0244,d869b7279d23184e6902cf86beddffed885605a57341894b099de1ca586febd6,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1218240962.464777,PASS,h09,3,not_needed,,not_needed,
LA-0260,1af97b5528590fc86937e5ca622e565e8824964a3be9e077849f1bd84899efdb,oracle_failure,Memory exact evaluation failed,certified,,1227921459.2873516,PASS,h09,3,not_needed,,not_needed,
LA-0265,862d03ad8b7eb2495cdfce8f0a74e4edca9fbfdc9da2e9dfecdfdb8c20c43b16,oracle_failure,Full exact certification was incomplete,certified,,1234706927.8758516,PASS,h09,3,not_needed,,not_needed,
LA-0272,fc2b4890bd66f8b7351daedf3e3b9c5ba4c9bc6879e49f3580a3e9610ba1c45c,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1224781486.1529472,PASS,h09,3,not_needed,,not_needed,
LA-0279,884524026d868e658e8e6af549f40f34a635fc9067018f62e686a8103b0a5ece,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1224356097.9101262,PASS,h09,3,not_needed,,not_needed,
LA-0308,600885755cbb533d7636a4202c2db8b488a60f166a9a98443bcdf11f9246f81c,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1231500015.1699603,PASS,h09,3,not_needed,,not_needed,
LA-0325,ee053b011bcec6468ff0b659ca14db2c3cda3815407a3e20302f1b30d5cfd97b,ValueError,exact recourse violates Q-F-R constraints,certified,,1226025139.8919802,PASS,h09,6,not_needed,,not_needed,
LA-0327,26b0ad5717f7a58cc774343f1b9c7b20588ccb2ed4387459b73a4ebb14338ef5,oracle_failure,Full exact certification was incomplete,certified,,1223011837.5752046,PASS,h09,3,not_needed,,not_needed,
LA-0329,0ce0ad7ed585a5d18815d9c0c940fc6baee2d508621dbd3aafee8ee425123696,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1229509787.1765122,PASS,h09,6,not_needed,,not_needed,
LA-0353,021c8d252140c33d3bba0da6f129eb5c541a0a1aa63a39f9d3711612fb02085e,ValueError,exact recourse violates Q-F-R constraints,certified,,1225751747.7730184,PASS,h09,6,not_needed,,not_needed,
LA-0361,b0d57db8f02142b21b1c200ea874bd8b892e7704696e5db341379a9f846904f0,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1229993267.1794279,PASS,h09,3,not_needed,,not_needed,
LA-0367,f1573a599fa38365c2f773c368a487ae4544184c7812970daeffa7a98e94d3a9,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1203275808.2850163,PASS,h09,3,not_needed,,not_needed,
LA-0392,3b633fb4b0767df770b0e83e4404981c044de1d7945400be03cf9153280d6fc0,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1231650593.8289838,PASS,h09,3,not_needed,,not_needed,
LA-0407,0b337d20e02f5fe1e826fbf130a32406296d21b224e0eccd784effafd44599d7,oracle_failure,Full exact certification was incomplete,certified,,1221953950.9903224,PASS,h09,3,not_needed,,not_needed,
LA-0410,ace3856344a78e7d1dd524f1b1d0f174b0f2af6971133122152dcc812694be2d,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1218868208.8066874,PASS,h09,3,not_needed,,not_needed,
LA-0422,009903ddc3ca6e1651e7f7f0154966d57cbadba4e2b625012b73dcbe6be1fc13,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1238347439.8900905,PASS,h09,3,not_needed,,not_needed,
LA-0436,1e77197beadf8e9a715f7bb85ef8f315c51adce8c616488cfab3d9650af78639,oracle_failure,Memory exact evaluation failed,certified,,1236037675.743598,PASS,h09,3,not_needed,,not_needed,
LA-0447,371254fb910af829f6e7a6d45923de5b40c44f36af06cf93e77a1399057a5a62,oracle_failure,Memory exact evaluation failed,certified,,1228325393.6898484,PASS,h09,3,not_needed,,not_needed,
LA-0452,a1c25c90e535aa3daac09fd10eda257d9d2ddd86d9184850d14ad2b76f46315b,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1219972773.344244,PASS,h09,3,not_needed,,not_needed,
LA-0460,37dfad7be959263ecce1cd54aabb1f0f5b60556d7a5f449d2dde0296e586db54,ValueError,exact recourse violates Q-F-R constraints,certified,,1224582058.2155807,PASS,h09,6,not_needed,,not_needed,
LA-0516,16166a95aa22d711f37cc694c48a73f8b0d062f90a0661b8cc1ba0090e529811,oracle_failure,Memory exact evaluation failed,certified,,1218526182.320789,PASS,h09,3,not_needed,,not_needed,
LA-0524,3c3d93c2bc8f6e7d3b518ca19430267ac14815825171d4d23d0a904ab234aa1c,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1194467726.5550532,PASS,h09,3,not_needed,,not_needed,
LA-0529,dc86ebb90df2923f220cd9907884ebf15719f985892970696dab4758aaa4c2ed,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1223702289.6871452,PASS,h09,3,not_needed,,not_needed,
LA-0540,d39404d9be341d8913169521cd3183913ef2c5028e15ab06c6acb7af66a6d5d1,oracle_failure,Full exact certification was incomplete,certified,,1201000109.8712337,PASS,h09,3,not_needed,,not_needed,
LA-0553,bd83e8236c9549d262a50a6d63dd7be5a1e957a5b3de52cfb664b9e46694de98,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1229035089.004477,PASS,h09,3,not_needed,,not_needed,
LA-0556,2985d972c1e5dddf81bdae702bddaf1b506ca25a3c8185378f0c085f43122eef,oracle_failure,Full exact certification was incomplete,certified,,1215838731.1965573,PASS,h09,3,not_needed,,not_needed,
LA-0557,d71eeae9cc9159840968944719cfe7c3e5f7d0dde14a196afa443e35bc867766,oracle_failure,Full exact certification was incomplete,certified,,1220066470.8675027,PASS,h09,3,not_needed,,not_needed,
LA-0559,38944a37260798b40473266bb6dbfc9ff5d6eb3a9c77f1e4a075d76223cac0af,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1230743876.0838265,PASS,h09,3,not_needed,,not_needed,
LA-0566,869aedf18e460bb0cd22682bc86b8ae68880a23650fafea937ccf1518708bbb8,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1234425623.3198454,PASS,h09,3,not_needed,,not_needed,
LA-0587,b4696fa3c107613293f8f281621074f39d6fa5a34d3ddd33bf4ec7b0ea9870ea,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1224780971.6019979,PASS,h09,7,not_needed,,not_needed,
LA-0589,3715661f1cf57d73e747b7ce3f6adc64b317459abd80e4dd0177916aa2c41e8d,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1226023935.4419494,PASS,h09,3,not_needed,,not_needed,
LA-0590,2ef976504d2279ddc50761b79bb51400d5855406a739a1823873da3144d79722,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1202618978.286572,PASS,h09,3,not_needed,,not_needed,
LA-0610,a7f7ceb25853f2b787b8e566376cece273db6419960152c6d53dbe20e69b48ed,oracle_failure,Memory exact evaluation failed,certified,,1229331512.0081477,PASS,h09,3,not_needed,,not_needed,
LA-0621,30f4e2b5bdd3e36658139015d040a4b63ff5870c69b61c5fb4b414b7a24e1a81,oracle_failure,Memory exact evaluation failed,certified,,1231793575.5275853,PASS,h09,3,not_needed,,not_needed,
LA-0622,b9d0fecb7db75e22ae34b15233cd4e6f0ff155368d8bbb9d347e9e7a27d7434a,oracle_failure,Memory exact evaluation failed,certified,,1227982965.1117678,PASS,h09,3,not_needed,,not_needed,
LA-0630,2ba9baed29f4b4da99898ac12ebab6c15de57cd95ad01cedebfb430fb8299700,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1216181361.358308,PASS,h09,3,not_needed,,not_needed,
LA-0631,07d3cad6cf5a0d9c3c1ef47e5f6e9390bfdc4304c3135b83808496244f25881a,oracle_failure,Memory exact evaluation failed,oracle_failure,Memory exact evaluation failed,,FAIL,,3,oracle_failure,,failed,
LA-0636,7797de0ff3db60fd6af5b341d4ad5965b4e9d3f131a27235078f0afb56b9ec7d,oracle_failure,Memory exact evaluation failed,certified,,1220983982.700194,PASS,h09,3,not_needed,,not_needed,
LA-0644,103819d6efae8e8d55afb623531c8fcc5caedfe82e8359c199034866e7596adb,oracle_failure,Full exact certification was incomplete,certified,,1192579589.170013,PASS,h09,3,not_needed,,not_needed,
LA-0646,22a0bacd90599d7c88030899afc42006c5478242a84e990047e8e3cd7ed3a54e,oracle_failure,Memory exact evaluation failed,certified,,1220013957.0329425,PASS,h09,3,not_needed,,not_needed,
LA-0653,195798ab08b968fb6c4ee37bb25c36d5da051d533e0131a34d45e6918a9dcc43,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1206820374.338254,PASS,h09,3,not_needed,,not_needed,
LA-0654,4ef1d9df69d5d7130d3d42e294c1182123f2593437574be71ff64cfbe18e8424,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1234375408.8636172,PASS,h09,3,not_needed,,not_needed,
LA-0657,f9ef6ee3c5c9a319a187f6339c5aee9e0c4c0419506a224a9a90dd598c9e874c,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1217163722.1585155,PASS,h09,3,not_needed,,not_needed,
LA-0669,32b87869f4d2e2a986d6690691b45a79a8f924708158b97f739bd8aa425e9e22,oracle_failure,Memory exact evaluation failed,oracle_failure,Memory exact evaluation failed,,FAIL,,3,oracle_failure,,optimal,1225644334.8779159
LA-0670,fd5fad55404a6c0f5d1cf6d6e6baaed87f72a25a7d664b80cf4f01cad207ee7d,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1205111547.7325478,PASS,h09,3,not_needed,,not_needed,
LA-0681,22ba5bbc43b5e79ba5df2d801818aab56045cec53724e0f58c19cb74d764467e,ValueError,exact recourse violates Q-F-R constraints,certified,,1188081056.3439608,PASS,h09,3,not_needed,,not_needed,
LA-0691,1b2669551e3ea85e1b55a667645fdb4775525679381bd71196b4ecb4510da91b,oracle_failure,Memory exact evaluation failed,certified,,1226108939.9174044,PASS,h09,3,not_needed,,not_needed,
LA-0694,f8f56a91dcf1a720d5133bf653ff16aee2e68ff05f2496223ddf91985d71cba4,ValueError,exact recourse violates Q-F-R constraints,certified,,1227072421.7481222,PASS,h09,6,not_needed,,not_needed,
LA-0696,e21ea052107519dc7aa0ad1bccef5eb368be040899d494f1b0cb44c4e764dc09,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1221311846.2940516,PASS,h09,3,not_needed,,not_needed,
LA-0697,e2a6316000586d37724efeafcf7780b7377df24127f7ccffd7a0d3e78b9f85e0,oracle_failure,Memory exact evaluation failed,certified,,1236662966.443531,PASS,h09,3,not_needed,,not_needed,
LA-0701,9990e0b579368f892514eb33244a4e189d4598ec1e922323ea210b2f155eb8bd,ValueError,exact recourse violates Q-F-R constraints,certified,,1190920964.6312637,PASS,h09,3,not_needed,,not_needed,
LA-0707,c24e65a7388d1119f6cc562136274cfd0c8cd69579945a23b9d48775c0288b36,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1231537613.488982,PASS,h09,3,not_needed,,not_needed,
LA-0711,a9992fcbcf8745c23b081c03625a6d81732df00f7800122a612e590631b94360,oracle_failure,Memory exact evaluation failed,certified,,1225752093.9989681,PASS,h09,3,not_needed,,not_needed,
LA-0718,e5a0a9e3756ac75f7bc4803ff404f00170cd3d4602e958dfe083a970fc7af97b,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,oracle_failure,Full exact certification was incomplete,,FAIL,,3,certified,1226320220.5736384,failed,
LA-0722,bc028472f9a9c3bbdd659f7715f51cb273e07bec6665594bfe3ea271b330ac01,oracle_failure,Memory exact evaluation failed,certified,,1227578508.1910422,PASS,h09,3,not_needed,,not_needed,
LA-0723,f673f3852e308dbde1d1a7ffa45d0773f2a9a2594756108e5c3af3bb435d9d5e,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1222274241.2844083,PASS,h09,3,not_needed,,not_needed,
LA-0728,4f4224e8a98f7c66319d068600875aeae16b05fd995d72f810aeb83eafec23b3,ValueError,exact recourse violates Q-F-R constraints,certified,,1227487652.2297895,PASS,h09,6,not_needed,,not_needed,
LA-0730,ac7ea81a01e19b8e69aa53df155dce744d37233040b5c9aac80351f76719a7b7,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1213424661.501096,PASS,h09,3,not_needed,,not_needed,
LA-0754,dd028bee899037b6148ef60600826693ede965eec9bacce3301563a598af3800,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1222570480.513757,PASS,h09,3,not_needed,,not_needed,
LA-0755,bd132e4f46c1c341735e47d7bab25fef16b2934de4240fb4a33fd24a8b133a87,ValueError,exact recourse violates Q-F-R constraints,certified,,1221335317.2285936,PASS,h09,7,not_needed,,not_needed,
LA-0757,91f7bfce04026e24772e42d9fd32e4f354724fc41ad5e0e9c7b6df2e9130b6cf,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1224215362.7069619,PASS,h09,3,not_needed,,not_needed,
LA-0770,f1fd6d3034dacc36645a1be8d00f7901ca6d2a318a9c60c3b379ff82db5a4f4d,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1199534729.5907493,PASS,h09,3,not_needed,,not_needed,
LA-0772,5e6d76642ba7b031db28d75aad1f8bc892fc1603aac81b65f343648b8672e307,ValueError,Q-F-R invariant failed: worst-loss epigraph for h05,certified,,1236375945.6358743,PASS,h09,6,not_needed,,not_needed,
LA-0773,352684c43c955d5fdf1b7efe1809d560e18ff6e9a14fec08d2d438ec511cdc73,ValueError,exact recourse violates Q-F-R constraints,certified,,1230169813.1988726,PASS,h09,6,not_needed,,not_needed,
LA-0792,eca1094e8a93d953c7b9ca4d4c4f09c9bf1da2081e20536c4902dbcef0ff14d3,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1240455040.3226974,PASS,h09,3,not_needed,,not_needed,
LA-0796,779e6284d44a3658415e422f28cf8b3c5c70805e76037da02a6cd105161b0ad3,oracle_failure,Memory exact evaluation failed,certified,,1225725893.1519256,PASS,h09,3,not_needed,,not_needed,
LA-0815,47130ec179402d557d1d06494f2e951c7c4d952a0aca31958068027ec49dcb62,oracle_failure,Memory exact evaluation failed,certified,,1219282975.9165187,PASS,h09,3,not_needed,,not_needed,
LA-0825,c82c22a79c826fb2e653aaf3a81d4cc3ee0a057d3fc5a4280807c6b8190a18f8,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1208140988.046193,PASS,h09,3,not_needed,,not_needed,
LA-0827,a33c79939e0f5b78b9e71b6209feedc41d8dfc1f7c45b77853a03100a5dc81cb,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1182366417.7571952,PASS,h09,3,not_needed,,not_needed,
LA-0828,17dda93be428d06ee0d31da35d52e87443ebb79c75759b3d55de7e1f30b57a07,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1208144302.619946,PASS,h09,3,not_needed,,not_needed,
LA-0831,d60d3f8024a62c1fa4fa42f7ad083a51f7968883fc9a0db46544dbe4df4d6eed,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1212105314.2715185,PASS,h09,3,not_needed,,not_needed,
LA-0832,7121769988bc743e6a21c95dfc455b011d37fd8686d1bd9f9ce1fb845d9ca7b1,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1214223959.2620158,PASS,h09,3,not_needed,,not_needed,
LA-0842,466c5fdd8cbfea6918620048fa7f1f9789c57c69c8a9622cf593d5e3d2c29739,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1208606888.5452466,PASS,h09,3,not_needed,,not_needed,
LA-0847,100bec52027c8c0ee2f26331aca4ebeb59a7c78efc561520fe23a219e781e0f4,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1229798717.179694,PASS,h09,7,not_needed,,not_needed,
LA-0849,3104e5bfd5e5004d0f395b55f817d6a8c52b8ee7790e3a2cda0b6ba516a1a170,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1191055118.5125408,PASS,h09,3,not_needed,,not_needed,
LA-0853,2010dc4b4f88ff2547d1e2cc5b1be6490307c83b91a28df220a8f21c7d098575,oracle_failure,Memory exact evaluation failed,certified,,1238331630.33354,PASS,h09,3,not_needed,,not_needed,
LA-0860,ca94af9af335cb451dda82a8bac72ed429bc747d43fec3dadef9d1f81ec9bc59,oracle_failure,Full exact certification was incomplete,certified,,1226463745.4863834,PASS,h09,3,not_needed,,not_needed,
LA-0866,7903ddb4b2f869dd9596563499c8fc97369af99ec3fb0f55cccc31f99aaa9351,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1192580819.895322,PASS,h09,3,not_needed,,not_needed,
LA-0887,7e151843b8c9f3033c1c6a2e64fa930eb8fe75490a6f0d9495c2d7e3291fb7ed,oracle_failure,Full exact certification was incomplete,certified,,1221568649.7743645,PASS,h09,3,not_needed,,not_needed,
LA-0909,943af5b4927aacb94d1b9f8cc261cabeb24b0e3858149fb64d0248aebec1ca32,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1236911059.9137175,PASS,h09,3,not_needed,,not_needed,
LA-0928,3876c4b5409bb53973ba98f41564b3c80296a2ec3754233040481a971535c43b,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1235262466.1626072,PASS,h09,3,not_needed,,not_needed,
LA-0930,d733d147cd567bc1b4389530bbaa6a62ee7daa1f91430d98a94b27d7c899856c,oracle_failure,Memory exact evaluation failed,certified,,1241474248.4303799,PASS,h09,3,not_needed,,not_needed,
LA-0932,0f662ef02e9c89aa449a153b94a6863e0186e5b5965876ba8d2251ecb22c7422,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1220643770.1712334,PASS,h09,3,not_needed,,not_needed,
LA-0934,3e99079f343295d1a192f27492c09e07f91cee4dd524309416e4f2fb7aadb9a2,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1181736471.3583288,PASS,h09,3,not_needed,,not_needed,
LA-0937,ffd2d36be4dcc2e05fd1633983973b3a1ed3bf998e70ffb805a202a18fe06cd5,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1201339583.4306393,PASS,h09,3,not_needed,,not_needed,
LA-0940,632f1a0f541abb9eb174adb23ec4da436b4ea64bed42e5bce0f806a045033b38,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1203160592.9702816,PASS,h09,3,not_needed,,not_needed,
LA-0946,5f9ba22a7c27af2e17dad826cae0fc9a840b227da627e537daef020aa6c5cec6,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1221360466.6736023,PASS,h09,3,not_needed,,not_needed,
LA-0960,e3d94ee27cd33338115fd602d837e8d2d64d2a8da4e1267513c9b9093f14eb2d,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1224729002.3817952,PASS,h09,3,not_needed,,not_needed,
LA-0969,3a1901d8fbe570c7d6bb69127cc65874b5638c3064850b927ea651061553c553,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1239282418.6575894,PASS,h09,3,not_needed,,not_needed,
LA-0978,4d8164fe0a8b7af6b958f7b5b0ebcc8dd1c2517306e5e8633b7304becf246e7b,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1192830706.0083709,PASS,h09,3,not_needed,,not_needed,
LA-0979,16cb21790d3fb180d4c2faca1b6ef758dcc26f033e88bba73fd3c7a446628f2e,oracle_failure,Memory exact evaluation failed,certified,,1227473487.7624314,PASS,h09,3,not_needed,,not_needed,
LA-0992,ceb7d7c74aae097df541d1874abfeaba4614079002b0d73bdea8a057f9398829,oracle_failure,Full exact certification was incomplete,certified,,1240076073.8125992,PASS,h09,3,not_needed,,not_needed,
LA-0996,a5b9b742775224edfa4c03a26466f90ad468c07f13e3a2416dd5615acef85069,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1215389068.5887966,PASS,h09,3,not_needed,,not_needed,
LA-0997,e7607e8145e6de5781dc70ca788cd01cc03746672b89a1f1e14a78dddfe511d7,ValueError,exact recourse violates Q-F-R constraints,certified,,1222095508.1735632,PASS,h09,7,not_needed,,not_needed,
