record_id,record_type,source_reference,source_locator,field_or_identity,status,observed_evidence,missing_information,disposition,notes
LITERATURE-188-IDENTITY,UNPUBLISHED_AUTHOR_DATA,Balcik et al. (2019),reported historical event count,author_final_event_list,UNRESOLVED,188 reported historical hurricane events,author final merged row identities and deduplication decisions,188 retained only as literature validation anchor,Canonical reconstruction is not count-constrained.
LITERATURE-310-REALIZATIONS,UNPUBLISHED_AUTHOR_DATA,Balcik et al. (2019),62 x 5 scenario construction,generated_scenarios,NOT_RECONSTRUCTED_R6I_SCOPE,310 model-generated season scenarios,random seed and realization table,excluded from historical canonical layer,Not historical events.
LITERATURE-67-68,LITERATURE_CONFLICT,Balcik author-chain,1950-2017 horizon versus reported 67 seasons,historical_season_count,UNRESOLVED,68 inclusive calendar years; literature reports 67 hurricane seasons,author season-count convention,nonblocking for historical source layer,No correction inferred.
MATCH-EMDAT-1974-0047-BLZ,SOURCE_MATCH,EM_DAT,row:1570,hurdat_storm_id,UNMATCHED,,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1974-0047-JAM,SOURCE_MATCH,EM_DAT,row:769,hurdat_storm_id,UNMATCHED,,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1979-0069-DMA,SOURCE_MATCH,EM_DAT,row:1595,hurdat_storm_id,UNMATCHED,,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1984-0092-DMA,SOURCE_MATCH,EM_DAT,row:1446,hurdat_storm_id,UNMATCHED,,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1984-0242-KNA,SOURCE_MATCH,EM_DAT,row:1180,hurdat_storm_id,AMBIGUOUS,AL181984,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1985-0389-TCA,SOURCE_MATCH,EM_DAT,row:1644,hurdat_storm_id,AMBIGUOUS,AL131985,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1987-0535-BRB,SOURCE_MATCH,EM_DAT,row:1200,hurdat_storm_id,AMBIGUOUS,AL121987,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1987-0536-LCA,SOURCE_MATCH,EM_DAT,row:1201,hurdat_storm_id,AMBIGUOUS,AL121987,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1995-0213-BRB,SOURCE_MATCH,EM_DAT,row:976,hurdat_storm_id,UNMATCHED,,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1996-0325-VGB,SOURCE_MATCH,EM_DAT,row:1707,hurdat_storm_id,UNMATCHED,,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1996-0502-HTI,SOURCE_MATCH,EM_DAT,row:465,hurdat_storm_id,UNMATCHED,,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-2001-0671-BHS,SOURCE_MATCH,EM_DAT,row:278,hurdat_storm_id,UNMATCHED,,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-2005-0567-HTI,SOURCE_MATCH,EM_DAT,row:1779,hurdat_storm_id,AMBIGUOUS,AL202005,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-2011-0432-DMA,SOURCE_MATCH,EM_DAT,row:2081,hurdat_storm_id,UNMATCHED,,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-2015-0375-HTI,SOURCE_MATCH,EM_DAT,row:1403,hurdat_storm_id,UNMATCHED,,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
