simulation_id,input_sha256,old_failure_category,old_failure_message,old_stage,old_phase,old_scenario_id,old_scenario_identity,solver_status,solver_termination,replay_status,replay_diagnostic,audit_kind,audit_scenario_id,audit_scenario_identity,validation_exception,budget_residual,objective_epigraph_label,objective_epigraph_reference,objective_epigraph_absolute_violation,objective_epigraph_relative_violation,budget_label,budget_reference,budget_absolute_violation,budget_relative_violation,quantity_nonnegative_label,quantity_nonnegative_reference,quantity_nonnegative_absolute_violation,quantity_nonnegative_relative_violation,fulfillment_capacity_label,fulfillment_capacity_reference,fulfillment_capacity_absolute_violation,fulfillment_capacity_relative_violation,demand_flow_label,demand_flow_reference,demand_flow_absolute_violation,demand_flow_relative_violation,other_model_constraint_label,other_model_constraint_reference,other_model_constraint_absolute_violation,other_model_constraint_relative_violation
LA-0107,19b75788c0fe39d45cc6915d734ad37ee5e59bdd7bf9d963f1a5fd2948c2ec10,oracle_failure,Full exact certification was incomplete,exact_oracle,full_exact_certification,h17,2352b31c74f51d696332af794c1cd5fe51acb24c01473161e7c6967e943f436c,warning,infeasible,oracle_failure,Full exact certification was incomplete,exact_recourse,h17,2352b31c74f51d696332af794c1cd5fe51acb24c01473161e7c6967e943f436c,unavailable,-12502192.626712551,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],11441827.644933816,0.0,0.0,demand_balance[Water],20000000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0122,1ad927fbeddd0a52c342a8643f1c602c8bbfb4ba53c30b55c7a156c59776d00d,oracle_failure,Memory exact evaluation failed,exact_oracle,memory,h19,1a05b18061879b310fa15acb33807651e8c8d82cecf46f9b115e0c67a5a3b1a8,warning,infeasible,oracle_failure,Memory exact evaluation failed,exact_recourse,h19,1a05b18061879b310fa15acb33807651e8c8d82cecf46f9b115e0c67a5a3b1a8,unavailable,-12601470.414529996,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],11372476.546777144,0.0,0.0,demand_balance[Water],70000000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0138,0e63223b21ebec1fcb42a54f90493ae49725d226d80e7aa01a8a75182c17063e,oracle_failure,Full exact certification was incomplete,exact_oracle,full_exact_certification,h09,c15e4b462a256652ea124de506b49989e3a9c81d3f6868599c20c9576eea55f4,warning,infeasible,oracle_failure,Full exact certification was incomplete,exact_recourse,h09,c15e4b462a256652ea124de506b49989e3a9c81d3f6868599c20c9576eea55f4,unavailable,-15363143.216687538,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],309277.41392979765,0.0,0.0,demand_balance[Water],10400000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0148,7151e912cd4a11e3ecf51701a50a70afb496f08ac17c31ec24434fead2eac7fd,oracle_failure,Full exact certification was incomplete,exact_oracle,full_exact_certification,h17,74cce6c8a253eabc0a66ba39f977a965417605f8c1f4652a7c7e4d2b723540d5,warning,infeasible,oracle_failure,Full exact certification was incomplete,exact_recourse,h17,74cce6c8a253eabc0a66ba39f977a965417605f8c1f4652a7c7e4d2b723540d5,unavailable,-12249943.624095812,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],11492249.87990228,0.0,0.0,demand_balance[Water],20000000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0156,ede0f25f8a6b0fd60df144524ba4d02e2a103ff7991cd5634de5358915c8e124,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1210888080.3189728,2.384185791015625e-07,1.9689563633226791e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",70000000.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0158,c6bd2306267b0f1e89480d80c036f99276c0b35c952949b54d672acc747becdc,oracle_failure,Memory exact evaluation failed,exact_oracle,memory,h19,b974b85ac0a1e564275ac41b55a343196fef3a07d1b3754d9e18dd49068f6ed7,warning,infeasible,oracle_failure,Memory exact evaluation failed,exact_recourse,h19,b974b85ac0a1e564275ac41b55a343196fef3a07d1b3754d9e18dd49068f6ed7,unavailable,-13178179.060685014,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],11438147.180030257,0.0,0.0,demand_balance[Water],70000000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0169,b0f2032de2442051dcc2a77a5d1150a6cc6f7c2c5317099a77f5cb39892e418c,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1217566326.0819948,2.384185791015625e-07,1.9581568083339603e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",70000000.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0172,84a890bda107c2affe9940ec8a32906871be70610d62d2687f2ad7d0de24af36,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1177761631.938101,2.384185791015625e-07,2.0243364415703172e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",70000000.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0173,3fdce90559a3fa35fc5a790f6b3ef13b885ad9fdec179bd496c9207d1c078563,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1216158016.2143064,2.384185791015625e-07,1.9604243521225893e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",70000000.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0174,4f344505002ff21d8109eed718bb5f8b8002bb30f9d928a87bf9a1d0f7b50adb,oracle_failure,Full exact certification was incomplete,exact_oracle,full_exact_certification,h17,08ce6547022e7fd22964a4c91ef6832ef74ada24da8140398c907686de2cb44d,warning,infeasible,oracle_failure,Full exact certification was incomplete,exact_recourse,h17,08ce6547022e7fd22964a4c91ef6832ef74ada24da8140398c907686de2cb44d,unavailable,-11022488.181425845,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],12467440.108585287,0.0,0.0,demand_balance[Water],20000000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0179,1fb4960aa84b46eb37d3c5daaa1d2e544bbc4709d0b898d967690d88b8373469,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1182981500.2599804,2.384185791015625e-07,2.0154041212746432e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",70000000.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0192,5c5bdef810f8771fd56289e99baab5fd72dfdf3cf610e4ddcdfbfdfedccf027a,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,3.725290298461914e-09,worst_loss[h09],1232863433.540451,2.384185791015625e-07,1.933860414830284e-16,scenario_budget[h09],18146405.511449322,3.725290298461914e-09,2.0529081068487494e-16,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",70000000.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0208,86f8dee9613183fc59f97a4e65221bcd624a99be001735564d47f13ecd95937f,oracle_failure,Memory exact evaluation failed,exact_oracle,memory,h19,f5f527c95af5b284df5f5853de38c6d2ed775bd142a14f090b544ef809caafbe,warning,infeasible,oracle_failure,Memory exact evaluation failed,exact_recourse,h19,f5f527c95af5b284df5f5853de38c6d2ed775bd142a14f090b544ef809caafbe,unavailable,-14274202.52930429,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],10813531.47691603,0.0,0.0,demand_balance[Water],70000000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0216,dbb498be1c3f008cc6fb508e6ceee41fe53337982ef2d1543830b70fdcd42b01,oracle_failure,Full exact certification was incomplete,exact_oracle,full_exact_certification,h17,d95c5759e4c46cc8020f4fd238d82ff7ac1ee206296f890fbb539c7bc0e6fce7,warning,infeasible,oracle_failure,Full exact certification was incomplete,exact_recourse,h17,d95c5759e4c46cc8020f4fd238d82ff7ac1ee206296f890fbb539c7bc0e6fce7,unavailable,-13263555.059201129,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],12970330.46382081,0.0,0.0,demand_balance[Water],20000000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0231,c19ae09cb55a3839287aec3371ba5d67a0a8141e47c80fb39f7629bea09a231e,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1225665012.016728,2.384185791015625e-07,1.9452181204819165e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",70000000.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0234,8e316c08f7d87d64aec2e3e6f08cf315a53267d5c84dae77db84879e2cf7e9b1,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1188792643.8578808,2.384185791015625e-07,2.005552274683029e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",70000000.0,0.0,0.0,"demand_balance[Seasonal Influenza Vaccine,h09]",9557344.06438629,1.862645149230957e-09,1.948915029826923e-16,one_reliability_level[Water],1.0,0.0,0.0
LA-0240,456ab94e95f6c4c22089c52fc66aa76bff495fbe9e7b34fc46077478105cafdc,oracle_failure,Full exact certification was incomplete,exact_oracle,full_exact_certification,h09,4754554bdb3490b7b28955c4d0f420d0f482ff9bfc432f1d123772597f8f611f,warning,infeasible,oracle_failure,Full exact certification was incomplete,exact_recourse,h09,4754554bdb3490b7b28955c4d0f420d0f482ff9bfc432f1d123772597f8f611f,unavailable,-14458773.27017054,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],10400000.0,0.0,0.0,demand_balance[Water],10400000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0244,d869b7279d23184e6902cf86beddffed885605a57341894b099de1ca586febd6,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1210581885.9827228,2.384185791015625e-07,1.9694543744805808e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",70000000.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0260,1af97b5528590fc86937e5ca622e565e8824964a3be9e077849f1bd84899efdb,oracle_failure,Memory exact evaluation failed,exact_oracle,memory,h19,2bf13e2056d114f61f01a10a5388375e21a6d7d6aef867ba5b70a33093664034,warning,infeasible,oracle_failure,Memory exact evaluation failed,exact_recourse,h19,2bf13e2056d114f61f01a10a5388375e21a6d7d6aef867ba5b70a33093664034,unavailable,-15529731.308574952,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],10905494.282994764,0.0,0.0,demand_balance[Water],70000000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0265,862d03ad8b7eb2495cdfce8f0a74e4edca9fbfdc9da2e9dfecdfdb8c20c43b16,oracle_failure,Full exact certification was incomplete,exact_oracle,full_exact_certification,h17,1c517b287714748f95444f1d40a4432014f7577b85ac12f062b94be457ae8671,warning,infeasible,oracle_failure,Full exact certification was incomplete,exact_recourse,h17,1c517b287714748f95444f1d40a4432014f7577b85ac12f062b94be457ae8671,unavailable,-12292484.814371748,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],15451338.641954876,0.0,0.0,demand_balance[Water],20000000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0272,fc2b4890bd66f8b7351daedf3e3b9c5ba4c9bc6879e49f3580a3e9610ba1c45c,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1215344631.2669175,2.384185791015625e-07,1.961736391208037e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",70000000.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0279,884524026d868e658e8e6af549f40f34a635fc9067018f62e686a8103b0a5ece,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1221788934.8521087,2.384185791015625e-07,1.951389248179939e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",1.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0308,600885755cbb533d7636a4202c2db8b488a60f166a9a98443bcdf11f9246f81c,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1227636237.57431,2.384185791015625e-07,1.94209466781996e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"exercise_limit[Seasonal Influenza Vaccine,h09]",783581.3154190797,1.1641532182693481e-10,1.4856827177492467e-16,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0325,ee053b011bcec6468ff0b659ca14db2c3cda3815407a3e20302f1b30d5cfd97b,ValueError,exact recourse violates Q-F-R constraints,exact_recourse_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,exact recourse violates Q-F-R constraints,exact_recourse,h09,10e80f8ee156abc25e8f0ce5392b81d4dbf2f242ed2ca3976999e928b78bdd50,ValueError: exact recourse violates Q-F-R constraints,0.0,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,565469.6581239174,0.0,0.0,exercise_limit[Water],565469.6581239174,0.0,0.0,demand_balance[Crackers],1862000000.0,2.384185791015625e-07,1.28044349678605e-16,unavailable,1.0,0.0,0.0
LA-0327,26b0ad5717f7a58cc774343f1b9c7b20588ccb2ed4387459b73a4ebb14338ef5,oracle_failure,Full exact certification was incomplete,exact_oracle,full_exact_certification,h09,84f07bd4e95aba6708223e0f1dc3d6594a8e9ee6c6c3360b60a4708e653a3dff,warning,infeasible,oracle_failure,Full exact certification was incomplete,exact_recourse,h09,84f07bd4e95aba6708223e0f1dc3d6594a8e9ee6c6c3360b60a4708e653a3dff,unavailable,-17140208.711123776,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],340391.3493756677,0.0,0.0,demand_balance[Water],10400000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0329,0ce0ad7ed585a5d18815d9c0c940fc6baee2d508621dbd3aafee8ee425123696,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1211363381.665063,2.384185791015625e-07,1.9681838060338882e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,16551893.807734612,0.0,0.0,"capacity_link[Water,0]",70000000.0,0.0,0.0,"demand_balance[Water,h01]",14032433.255494233,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
